country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","15-11-2025 23:00:00",24.762518,84.982348,PM2.5,8,69,32
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","15-11-2025 23:00:00",24.762518,84.982348,SO2,8,11,9
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","15-11-2025 23:00:00",11.654054,92.734055,CO,10,22,10
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","15-11-2025 23:00:00",16.5150833,80.5181667,PM2.5,129,240,165
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","15-11-2025 23:00:00",30.751462,76.762879,NH3,7,13,9
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","15-11-2025 23:00:00",30.751462,76.762879,CO,22,48,27
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","15-11-2025 23:00:00",30.719859,76.738637,PM2.5,52,233,122
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","15-11-2025 23:00:00",30.719859,76.738637,SO2,8,66,17
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","15-11-2025 23:00:00",30.719859,76.738637,CO,32,102,61
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","15-11-2025 23:00:00",21.194815,81.314770,OZONE,2,84,41
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant","15-11-2025 23:00:00",21.185571,81.343175,PM10,NA,NA,NA
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","15-11-2025 23:00:00",21.224231,81.408350,PM2.5,NA,NA,NA
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","15-11-2025 23:00:00",21.224231,81.408350,SO2,NA,NA,NA
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","15-11-2025 23:00:00",22.08815,82.13737,PM10,69,113,93
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","15-11-2025 23:00:00",22.118125,83.140608,PM10,41,203,82
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","15-11-2025 23:00:00",22.118125,83.140608,NH3,6,6,6
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","15-11-2025 23:00:00",22.118125,83.140608,OZONE,7,186,100
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","15-11-2025 23:00:00",22.368195,82.746431,SO2,8,40,13
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB","15-11-2025 23:00:00",22.348441,82.549611,PM2.5,53,72,55
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","15-11-2025 23:00:00",22.126650,83.483212,NO2,3,4,3
India,Bihar,Patna,"Samanpura, Patna - BSPCB","15-11-2025 23:00:00",25.596727,85.085624,SO2,2,2,2
India,Bihar,Patna,"Samanpura, Patna - BSPCB","15-11-2025 23:00:00",25.596727,85.085624,OZONE,7,217,49
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","15-11-2025 23:00:00",25.366336,87.117468,PM10,27,99,70
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","15-11-2025 23:00:00",25.366336,87.117468,CO,27,86,53
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","15-11-2025 23:00:00",25.03280,85.41948,NO2,8,10,9
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","15-11-2025 23:00:00",25.892357,86.590325,OZONE,3,9,7
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","15-11-2025 23:00:00",25.859655,85.77944,PM2.5,NA,NA,NA
